承上下求索志 绘春秋振兴图 　　
除旧岁破旧俗 迎新年树新风 　　 
处处春光济美 年年人物风流 　　
处处欢歌遍地 家家喜笑连天 　　
处处明山秀水 家家笑语欢歌 　　
窗外红梅最艳 心头美景尤佳 　　
创造万千气象 建设两个文明 　　
春到碧桃树上 莺歌绿柳楼前 　　
为江山添秀色 与日月争光辉 　　
爆竹一声除旧 桃符万户更新 　　
盛世民安业壮 神州虎跃龙腾 　　
盛世千秋伟业 神州万里春风 　　
时雨当春乃降 好花应时而开 　　
世纪光华岁月 中华锦绣河山 　　
守法奉公遵纪 尊长爱幼敬贤 　　
傲骨高风亮节 红梅翠竹青松 　　
白发同偕千岁 红心共映春秋 　　
白雪红梅报喜 黄莺紫燕迎春 　　
百花生香吐艳 四化跃马扬鞭 　　
百花生香吐艳 四化跃马争春 　　
百花迎春斗艳 群英为国争光 　　
百卉近春斗艳 群芳为国争光 　　
百联同歌盛世 九州共祝民康 　　
春到芙蓉国里 福临杨柳门前 　　
春风吹遍天涯 阳光普照人间 　　
春风春雨春花 新年新岁新景 　　
春风春雨春色 新岁新年新风 　　
春风花香鸟语 夜月书韵琴声 　　
春光洒满大地 彩霞映遍神州 　　
春来鸟语花香 冬去山明水秀 　　
春日人人共乐 江山处处皆春 　　
春意布满大地 阳光普照人间 　　
春引百花竟放 福到人寿年丰 　　
春织千山锦绣 旗扬万里雄风 　　
天启三春美景 人描四化宏图 　　
不靠苍天赐福 全凭白手起家 　　
开拓路途春丽 革新枝上花荣 　　
开创千秋大业 绘成四化宏图 　　
历尽酸甜苦辣 迎来洒脱风流 　　　　
日日生财有道 春春纳福无涯 　　
日暖风调雨顺 家和人寿年丰 　　
月圆常念家国 花好倍思眷亲 　　
月明五湖曙色 潮满三江春光 　　
雪映梅花更艳 春归柳色尤青 　　
风过红旗似画 春来绿水如烟 　　
风景这边独好 江山如此多娇 
风展红旗似画 春来绿水如蓝 　　
风正江山吐秀 心齐国运昌隆 　　
心似春花怒放 财如瑞雪翻飞 　　
四海旌旗映日 五湖战鼓催春 　　
四化千秋鼎盛 九天万象更新 　　
四化喜开国运 千方共庆家祥 　　
四化蒸蒸日上 五业欣欣向荣 　　
共建文明环境 同兴锦绣中华 　　
共庆春回大地 同歌喜到人间 　　
共喜阳回大地 同歌春到人间 　　
两岸春光普照 千家瑞气盈门 　　
芝草满庭吐秀 百花遍地飘香 
扫除拜金邪气 树立崇德佳风
安定团结四海添喜 政策称心五虎逢春 　　
选贤任能唯才是举 励精图治振兴在望 　
增产增收年年物阜 多劳多得家富人勤 　
万紫千红百花齐放 三江四海五谷丰登 　　 
奉养父母年年康健 教育子女天天向上 　　 
关心农民物质利益 保障社员民主权利 　
春暖风和花香鸟语 民富国强人寿年丰 　　
四化建设春风得意 百花齐放艺苑生春 　
花香鸟语人勤春早 风和景明民乐年丰 　　 
劳动致富生活改善 勤俭持家衣食丰足 　　
九州春色莺歌燕舞 四海征程虎跃龙腾 　　
大地回春山河壮丽 阳光普照玉宇澄清 　　 
